recipe_name	image	materials_needed	size	obtained_from	sell_price	materials_needed_clean	size_clean
Moon	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/NH-Moon.png/revision/latest/scale-to-width-down/50?cb=20200329093310"" 	 alt=""NH-Moon""  	class="""" 	 	data-image-key=""NH-Moon.png"" 	data-image-name=""NH-Moon.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Mossy garden rock	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f6/NH-Mossy_garden_rock.png/revision/latest/scale-to-width-down/50?cb=20200329062454"" 	 alt=""NH-Mossy garden rock""  	class="""" 	 	data-image-key=""NH-Mossy_garden_rock.png"" 	data-image-name=""NH-Mossy garden rock.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"15x<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/NH-stone-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195755"" 	 alt=""NH-stone-icon""  	class="""" 	 	data-image-key=""NH-stone-icon.png"" 	data-image-name=""NH-stone-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>stone
15x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/NH-clump_of_weeds-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193954"" 	 alt=""NH-clump of weeds-icon""  	class="""" 	 	data-image-key=""NH-clump_of_weeds-icon.png"" 	data-image-name=""NH-clump of weeds-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>clump of weeds"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	NA	2,550 Bells	15xstone, 15x clump of weeds	1.0x1.0
Mountain standee	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/49/NH-Mountain_standee.png/revision/latest/scale-to-width-down/50?cb=20200326040605"" 	 alt=""NH-Mountain standee""  	class="""" 	 	data-image-key=""NH-Mountain_standee.png"" 	data-image-name=""NH-Mountain standee.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"4x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood
5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-softwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195710"" 	 alt=""NH-softwood-icon""  	class="""" 	 	data-image-key=""NH-softwood-icon.png"" 	data-image-name=""NH-softwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>softwood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841"" 	 alt=""NH2.0x1.0sq""  	class="""" 	 	data-image-key=""NH2.0x1.0sq.jpg"" 	data-image-name=""NH2.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Message in a bottle	1,080 Bells	4x wood, 5x softwood	2.0x1.0
Mum cushion	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/27/NH-Mum_cushion.png/revision/latest/scale-to-width-down/50?cb=20200328162455"" 	 alt=""NH-Mum cushion""  	class="""" 	 	data-image-key=""NH-Mum_cushion.png"" 	data-image-name=""NH-Mum cushion.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"8x yellow mums
10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/NH-clump_of_weeds-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193954"" 	 alt=""NH-clump of weeds-icon""  	class="""" 	 	data-image-key=""NH-clump_of_weeds-icon.png"" 	data-image-name=""NH-clump of weeds-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>clump of weeds"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	NA	NA	8x yellow mums, 10x clump of weeds	1.0x1.0
Mush lamp	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d8/NH-Mush_lamp.png/revision/latest/scale-to-width-down/50?cb=20200329091050"" 	 alt=""NH-Mush lamp""  	class="""" 	 	data-image-key=""NH-Mush_lamp.png"" 	data-image-name=""NH-Mush lamp.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Mush log	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e5/NH-Mush_log.png/revision/latest/scale-to-width-down/50?cb=20200329091102"" 	 alt=""NH-Mush log""  	class="""" 	 	data-image-key=""NH-Mush_log.png"" 	data-image-name=""NH-Mush log.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Mush low stool	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/8d/NH-Mush_low_stool.png/revision/latest/scale-to-width-down/50?cb=20200329091114"" 	 alt=""NH-Mush low stool""  	class="""" 	 	data-image-key=""NH-Mush_low_stool.png"" 	data-image-name=""NH-Mush low stool.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Mush parasol	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b1/NH-Mush_parasol.png/revision/latest/scale-to-width-down/50?cb=20200329091124"" 	 alt=""NH-Mush parasol""  	class="""" 	 	data-image-key=""NH-Mush_parasol.png"" 	data-image-name=""NH-Mush parasol.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Mush partition	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/44/NH-Mush_partition.png/revision/latest/scale-to-width-down/50?cb=20200329091138"" 	 alt=""NH-Mush partition""  	class="""" 	 	data-image-key=""NH-Mush_partition.png"" 	data-image-name=""NH-Mush partition.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Mush table	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/71/NH-Mush_table.png/revision/latest/scale-to-width-down/50?cb=20200329091150"" 	 alt=""NH-Mush table""  	class="""" 	 	data-image-key=""NH-Mush_table.png"" 	data-image-name=""NH-Mush table.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Music stand	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/76/NH-Music_stand.png/revision/latest/scale-to-width-down/50?cb=20200327102149"" 	 alt=""NH-Music stand""  	class="""" 	 	data-image-key=""NH-Music_stand.png"" 	data-image-name=""NH-Music stand.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"8x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/NH-hardwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195048"" 	 alt=""NH-hardwood-icon""  	class="""" 	 	data-image-key=""NH-hardwood-icon.png"" 	data-image-name=""NH-hardwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>hardwood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Message in a bottle	960 Bells	8x hardwood	1.0x1.0
Natural garden chair	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/6e/NH-Natural_garden_chair.png/revision/latest/scale-to-width-down/50?cb=20200325182018"" 	 alt=""NH-Natural garden chair""  	class="""" 	 	data-image-key=""NH-Natural_garden_chair.png"" 	data-image-name=""NH-Natural garden chair.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/NH-hardwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195048"" 	 alt=""NH-hardwood-icon""  	class="""" 	 	data-image-key=""NH-hardwood-icon.png"" 	data-image-name=""NH-hardwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>hardwood
2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	"Tom Nook
Message in a bottle"	2,220 Bells	6x hardwood, 2x iron nugget	1.0x1.0
Natural garden table	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c5/NH-Natural_garden_table.png/revision/latest/scale-to-width-down/50?cb=20200325182023"" 	 alt=""NH-Natural garden table""  	class="""" 	 	data-image-key=""NH-Natural_garden_table.png"" 	data-image-name=""NH-Natural garden table.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"9x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/NH-hardwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195048"" 	 alt=""NH-hardwood-icon""  	class="""" 	 	data-image-key=""NH-hardwood-icon.png"" 	data-image-name=""NH-hardwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>hardwood
3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/NH2.0x2.0sq.jpg/revision/latest?cb=20200324214617"" 	 alt=""NH2.0x2.0sq""  	class="""" 	 	data-image-key=""NH2.0x2.0sq.jpg"" 	data-image-name=""NH2.0x2.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	"Tom Nook
Island resident"	3,330 Bells	9x hardwood, 3x iron nugget	2.0x2.0
Natural square table	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2f/NH-Natural_square_table.png/revision/latest/scale-to-width-down/50?cb=20200326061656"" 	 alt=""NH-Natural square table""  	class="""" 	 	data-image-key=""NH-Natural_square_table.png"" 	data-image-name=""NH-Natural square table.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"4x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/NH-hardwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195048"" 	 alt=""NH-hardwood-icon""  	class="""" 	 	data-image-key=""NH-hardwood-icon.png"" 	data-image-name=""NH-hardwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>hardwood
2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Island resident	1,980 Bells	4x hardwood, 2x iron nugget	1.0x1.0
Orange end table	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f6/NH-Orange_end_table.png/revision/latest/scale-to-width-down/50?cb=20200326043425"" 	 alt=""NH-Orange end table""  	class="""" 	 	data-image-key=""NH-Orange_end_table.png"" 	data-image-name=""NH-Orange end table.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4f/NH-orange-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195434"" 	 alt=""NH-orange-icon""  	class="""" 	 	data-image-key=""NH-orange-icon.png"" 	data-image-name=""NH-orange-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>orange
4x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Tom Nook after receiving first three housing kits, if the native fruit is oranges	2,480 Bells	10x orange, 4x wood	1.0x1.0
Outdoor bath	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/85/NH-Outdoor_bath.png/revision/latest/scale-to-width-down/50?cb=20200327124637"" 	 alt=""NH-Outdoor bath""  	class="""" 	 	data-image-key=""NH-Outdoor_bath.png"" 	data-image-name=""NH-Outdoor bath.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"20x<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/NH-stone-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195755"" 	 alt=""NH-stone-icon""  	class="""" 	 	data-image-key=""NH-stone-icon.png"" 	data-image-name=""NH-stone-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>stone
1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/ba/NH-shovel-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195906"" 	 alt=""NH-shovel-icon""  	class="""" 	 	data-image-key=""NH-shovel-icon.png"" 	data-image-name=""NH-shovel-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>shovel"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/de/NH3.0x3.0sq.jpg/revision/latest?cb=20200324215104"" 	 alt=""NH3.0x3.0sq""  	class="""" 	 	data-image-key=""NH3.0x3.0sq.jpg"" 	data-image-name=""NH3.0x3.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (# Nook Miles)	4,350 Bells	20xstone, 1x shovel	3.0x3.0
Outdoor picnic set	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/5d/NH-Outdoor_picnic_set.png/revision/latest/scale-to-width-down/50?cb=20200326102847"" 	 alt=""NH-Outdoor picnic set""  	class="""" 	 	data-image-key=""NH-Outdoor_picnic_set.png"" 	data-image-name=""NH-Outdoor picnic set.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	10x cherry-blossom petal	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH1.5x1.5sq.jpg/revision/latest?cb=20200324214642"" 	 alt=""NH1.5x1.5sq""  	class="""" 	 	data-image-key=""NH1.5x1.5sq.jpg"" 	data-image-name=""NH1.5x1.5sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Isabelle during morning announcement while talking about cherry blossom season	NA	10x cherry-blossom petal	1.5x1.5
Palm-tree lamp	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/8d/NH-Palm-tree_lamp.png/revision/latest/scale-to-width-down/50?cb=20200326061351"" 	 alt=""NH-Palm-tree lamp""  	class="""" 	 	data-image-key=""NH-Palm-tree_lamp.png"" 	data-image-name=""NH-Palm-tree lamp.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"4x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b2/NH-coconut-icon.png/revision/latest/scale-to-width-down/18?cb=20200328194316"" 	 alt=""NH-coconut-icon""  	class="""" 	 	data-image-key=""NH-coconut-icon.png"" 	data-image-name=""NH-coconut-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>coconut
4x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood
4x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/NH-clay-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193929"" 	 alt=""NH-clay-icon""  	class="""" 	 	data-image-key=""NH-clay-icon.png"" 	data-image-name=""NH-clay-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>clay"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Message in a bottle	3,280 Bells	4x coconut, 4x wood, 4x clay	1.0x1.0
Pansy table	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/NH-Pansy_table.png/revision/latest/scale-to-width-down/50?cb=20200329061526"" 	 alt=""NH-Pansy table""  	class="""" 	 	data-image-key=""NH-Pansy_table.png"" 	data-image-name=""NH-Pansy table.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/96/NH-yellow_pansies-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200152"" 	 alt=""NH-yellow pansies-icon""  	class="""" 	 	data-image-key=""NH-yellow_pansies-icon.png"" 	data-image-name=""NH-yellow pansies-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>yellow pansies
3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/NH-hardwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195048"" 	 alt=""NH-hardwood-icon""  	class="""" 	 	data-image-key=""NH-hardwood-icon.png"" 	data-image-name=""NH-hardwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>hardwood"	NA	NA	NA	5x yellow pansies, 3x hardwood	NA
Peach chair	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d3/NH-Peach_chair.png/revision/latest/scale-to-width-down/50?cb=20200326040726"" 	 alt=""NH-Peach chair""  	class="""" 	 	data-image-key=""NH-Peach_chair.png"" 	data-image-name=""NH-Peach chair.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/ff/NH-peach-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195517"" 	 alt=""NH-peach-icon""  	class="""" 	 	data-image-key=""NH-peach-icon.png"" 	data-image-name=""NH-peach-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>peach
5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Tom Nook after receiving first three housing kits, if the native fruit is peaches	2,600 Bells	10x peach, 5x wood	1.0x1.0
Pear bed	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c5/NH-Pear_bed.png/revision/latest/scale-to-width-down/50?cb=20200326040754"" 	 alt=""NH-Pear bed""  	class="""" 	 	data-image-key=""NH-Pear_bed.png"" 	data-image-name=""NH-Pear bed.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fe/NH-Pear-icon.png/revision/latest/scale-to-width-down/18?cb=20200328190014"" 	 alt=""NH-Pear-icon""  	class="""" 	 	data-image-key=""NH-Pear-icon.png"" 	data-image-name=""NH-Pear-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>pear
6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-softwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195710"" 	 alt=""NH-softwood-icon""  	class="""" 	 	data-image-key=""NH-softwood-icon.png"" 	data-image-name=""NH-softwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>softwood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841"" 	 alt=""NH2.0x1.0sq""  	class="""" 	 	data-image-key=""NH2.0x1.0sq.jpg"" 	data-image-name=""NH2.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Tom Nook after receiving first three housing kits, if the native fruit is pears	2,720 Bells	10x pear, 6x softwood	2.0x1.0
Pear wardrobe	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/NH-Pear_wardrobe.png/revision/latest/scale-to-width-down/50?cb=20200326040805"" 	 alt=""NH-Pear wardrobe""  	class="""" 	 	data-image-key=""NH-Pear_wardrobe.png"" 	data-image-name=""NH-Pear wardrobe.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fe/NH-Pear-icon.png/revision/latest/scale-to-width-down/18?cb=20200328190014"" 	 alt=""NH-Pear-icon""  	class="""" 	 	data-image-key=""NH-Pear-icon.png"" 	data-image-name=""NH-Pear-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>pear
5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	"Tom Nook after receiving first three housing kits, if the native fruit is pears
Island resident"	2,600 Bells	10x pear, 5x wood	1.0x1.0
Pile of leaves	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/13/NH-Pile_of_leaves.png/revision/latest/scale-to-width-down/50?cb=20200329102613"" 	 alt=""NH-Pile of leaves""  	class="""" 	 	data-image-key=""NH-Pile_of_leaves.png"" 	data-image-name=""NH-Pile of leaves.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Pisces lamp	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/3d/NH-Pisces_lamp.png/revision/latest/scale-to-width-down/50?cb=20200328084024"" 	 alt=""NH-Pisces lamp""  	class="""" 	 	data-image-key=""NH-Pisces_lamp.png"" 	data-image-name=""NH-Pisces lamp.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c2/NH-star_fragment-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195731"" 	 alt=""NH-star fragment-icon""  	class="""" 	 	data-image-key=""NH-star_fragment-icon.png"" 	data-image-name=""NH-star fragment-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>star fragment
2x 18pxPisces fragment
2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/08/NH-gold_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211158"" 	 alt=""NH-gold nugget-icon""  	class="""" 	 	data-image-key=""NH-gold_nugget-icon.png"" 	data-image-name=""NH-gold nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>gold nugget
4x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/NH-stone-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195755"" 	 alt=""NH-stone-icon""  	class="""" 	 	data-image-key=""NH-stone-icon.png"" 	data-image-name=""NH-stone-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>stone"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	NA	NA	3x star fragment, 2x 18pxPisces fragment, 2x gold nugget, 4x stone	1.0x1.0
